"","results.x$means$x","afinidad_all","serie$folio"
"422",-0.499266820034767,"pdc","ts_cep16"
"423",0.836289819763407,"pdc","ts_cep16"
"424",-0.389178476659757,"pdc","ts_cep16"
"425",0.659985070850515,"none","ts_cep16"
"426",-0.533958355144328,"none","ts_cep16"
"427",-0.219273775627119,"ppd","ts_cep16"
"428",-0.160890662697355,"pdc","ts_cep16"
"429",1.6873496326939,"none","ts_cep16"
"430",0.572047028329869,"none","ts_cep16"
"431",-0.493488085723445,"ps","ts_cep16"
"432",0.878593889476864,"pdc","ts_cep16"
"433",1.0058965087521,"none","ts_cep16"
"434",-0.578872982595121,"pdc","ts_cep16"
"435",1.00590584433318,"udi","ts_cep16"
"436",0.195507987817614,"ps","ts_cep16"
"437",-0.717245558183714,"none","ts_cep16"
"438",0.48402609631099,"none","ts_cep16"
"439",1.35950578722338,"pdc","ts_cep16"
"440",-0.363228875584305,"pdc","ts_cep16"
"441",0.59324390108479,"pdc","ts_cep16"
"442",0.309214383736547,"pdc","ts_cep16"
"443",-0.597457689673503,"none","ts_cep16"
"444",0.465426551459966,NA,"ts_cep16"
"445",1.6661102957128,"none","ts_cep16"
"446",0.530698948002535,"pdc","ts_cep16"
"447",0.211001870525553,"none","ts_cep16"
"448",-0.159166406062889,"none","ts_cep16"
"449",-0.915983361543858,"none","ts_cep16"
"450",0.326829987088469,"pdc","ts_cep16"
"451",0.584139078317816,"none","ts_cep16"
"452",-0.183347966579528,"none","ts_cep16"
"453",0.621065889179011,"pdc","ts_cep16"
"454",-0.196600962984177,"ppd","ts_cep16"
"455",0.222913682199159,"none","ts_cep16"
"456",-1.27264189832697,"none","ts_cep16"
"457",0.314994183780359,"none","ts_cep16"
"458",-0.333586954787871,"pdc","ts_cep16"
"459",0.752045031107272,"pdc","ts_cep16"
"460",0.705850755955787,"none","ts_cep16"
"461",-0.311938990534867,"none","ts_cep16"
"462",-0.151055856817493,"none","ts_cep16"
"463",-0.663550005900582,"pdc","ts_cep16"
"464",1.16975402232486,"pdc","ts_cep16"
"465",0.565220724026559,"none","ts_cep16"
"466",0.208767404567599,"ps","ts_cep16"
"467",-0.187062211717242,"pdc","ts_cep16"
"468",0.636975083226026,"none","ts_cep16"
"469",0.506402020152491,"none","ts_cep16"
"470",-0.738745683621493,"pdc","ts_cep16"
"471",0.816808507287455,"ppd","ts_cep16"
"472",-0.668255932690117,NA,"ts_cep16"
"473",-0.380642397169102,"prsd","ts_cep16"
"474",-0.343666528231148,"pdc","ts_cep16"
"475",0.392881476051687,"pdc","ts_cep16"
"476",0.559437721969775,"ps","ts_cep16"
"477",1.86840625985463,"pdc","ts_cep16"
"478",-0.334447116545392,"pdc","ts_cep16"
"479",1.64216121090959,"pdc","ts_cep16"
"480",0.359665989747509,"none","ts_cep16"
"481",0.444003394208355,"pdc","ts_cep16"
"482",-0.43785352454671,"pdc","ts_cep16"
"483",-0.0511487286632581,"none","ts_cep16"
"484",0.119917035777206,"pdc","ts_cep16"
"485",1.2354827999391,"none","ts_cep16"
"486",-0.30403646660109,"pdc","ts_cep16"
"487",-0.356121466297665,"pdc","ts_cep16"
"488",-0.273282352017627,"none","ts_cep16"
"489",1.15553058556756,"pdc","ts_cep16"
"490",0.999258642991604,"pdc","ts_cep16"
"491",0.844061386411712,"pdc","ts_cep16"
"492",0.584875673521007,"pdc","ts_cep16"
"493",1.20691325141449,"pdc","ts_cep16"
"494",-0.134518016626766,"none","ts_cep16"
"495",-0.416893127089064,"none","ts_cep16"
"496",0.45483248404073,"none","ts_cep16"
"497",0.802249405511744,"pdc","ts_cep16"
"498",0.98294182472894,"none","ts_cep16"
"499",0.123357537561333,"none","ts_cep16"
"500",0.523586513522183,"none","ts_cep16"
"501",0.794779376717834,"pdc","ts_cep16"
"502",0.310972636746819,"pdc","ts_cep16"
"503",0.991236027430694,"ps","ts_cep16"
"504",0.847443408321917,"pdc","ts_cep16"
"505",0.310098274088682,"pdc","ts_cep16"
"506",-0.745586910508706,"pdc","ts_cep16"
"507",0.355258912249542,"pdc","ts_cep16"
"508",0.589592696013185,"pdc","ts_cep16"
"509",0.181474687109037,NA,"ts_cep16"
"510",0.338868741986583,"none","ts_cep16"
"511",-0.215726460487899,"pdc","ts_cep16"
"512",-0.0218351065508853,"pdc","ts_cep16"
"513",0.0500333603089627,"pdc","ts_cep16"
"514",1.95821139372709,"pdc","ts_cep16"
"515",-0.690463197394459,"none","ts_cep16"
"516",-0.218556695344881,"none","ts_cep16"
"517",0.973751114041843,"ppd","ts_cep16"
"518",1.07991158094702,"rn","ts_cep16"
"519",0.398141963118229,"none","ts_cep16"
"520",0.907451016316977,"ppd","ts_cep16"
"521",-0.209561687780026,"ps","ts_cep16"
"522",0.233947915614778,"pdc","ts_cep16"
"523",1.1422154588751,"pdc","ts_cep16"
"524",-1.57948700873881,"none","ts_cep16"
"525",0.395377668105177,"pdc","ts_cep16"
"526",1.39322612958547,"pdc","ts_cep16"
"527",-0.600727529398435,"pdc","ts_cep16"
"528",0.695178525042471,"pdc","ts_cep16"
"529",0.165298820941,"pdc","ts_cep16"
"530",-0.10337334455034,"none","ts_cep16"
"531",0.935627321681608,"none","ts_cep16"
"532",0.644894437908496,"ppd","ts_cep16"
"533",-0.445596824259611,"none","ts_cep16"
"534",0.166588026825307,"none","ts_cep16"
"535",0.54824476290784,"pdc","ts_cep16"
"536",-0.35417708339194,"pdc","ts_cep16"
"537",0.501006952502835,"pdc","ts_cep16"
"538",0.532744795846169,"pdc","ts_cep16"
"539",-0.419563216884583,"none","ts_cep16"
"540",1.05263273449845,"pdc","ts_cep16"
"541",-0.23552074220204,"none","ts_cep16"
"542",1.10493167576971,"none","ts_cep16"
"543",-0.151246289340155,"pdc","ts_cep16"
"544",0.00518755977742613,"pdc","ts_cep16"
"545",-0.0726334804393272,"none","ts_cep16"
"546",1.18747603099976,"pdc","ts_cep16"
"547",-0.18817998858982,"none","ts_cep16"
"548",0.0638581793394189,"pdc","ts_cep16"
"549",0.364543707278282,NA,"ts_cep16"
"550",0.138317753291469,"pdc","ts_cep16"
"551",1.13539458080517,"rn","ts_cep16"
"552",-0.149387870421022,"none","ts_cep16"
"553",0.654694104452934,"pdc","ts_cep16"
"554",0.944751635996102,"pdc","ts_cep16"
"555",1.13734414298245,"pdc","ts_cep16"
"556",0.250286777829144,"none","ts_cep16"
"557",0.890042335000131,"pdc","ts_cep16"
"558",-0.170907484543487,"pdc","ts_cep16"
